GO,n_genes,TERM,contrast,term_label
GO:0000461,1,"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",mature_vs_early,"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000464,1,"endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",mature_vs_early,"endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000465,1,"exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",mature_vs_early,"exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000493,1,box H/ACA snoRNP assembly,mature_vs_early,box H/ACA snoRNP assembly
GO:0000494,1,box C/D sno(s)RNA 3'-end processing,mature_vs_early,box C/D sno(s)RNA 3'-end processing
GO:0000495,1,box H/ACA sno(s)RNA 3'-end processing,mature_vs_early,box H/ACA sno(s)RNA 3'-end processing
GO:0000709,1,meiotic joint molecule formation,mature_vs_early,meiotic joint molecule formation
GO:0000713,1,meiotic heteroduplex formation,mature_vs_early,meiotic heteroduplex formation
GO:0000719,1,photoreactive repair,mature_vs_early,photoreactive repair
GO:0000735,1,removal of nonhomologous ends,mature_vs_early,removal of nonhomologous ends
GO:0000736,1,"double-strand break repair via single-strand annealing, removal of nonhomologous ends",mature_vs_early,"double-strand break repair via single-strand annealing, removal of nonhomologous ends"
GO:0000743,1,nuclear migration involved in conjugation with cellular fusion,mature_vs_early,nuclear migration involved in conjugation with cellular fusion
GO:0000819,1,sister chromatid segregation,mature_vs_early,sister chromatid segregation
GO:0000821,1,regulation of arginine metabolic process,mature_vs_early,regulation of arginine metabolic process
GO:0000902,1,cell morphogenesis,mature_vs_early,cell morphogenesis
GO:0000910,1,cytokinesis,mature_vs_early,cytokinesis
GO:0000957,1,mitochondrial RNA catabolic process,mature_vs_early,mitochondrial RNA catabolic process
GO:0000959,1,mitochondrial RNA metabolic process,mature_vs_early,mitochondrial RNA metabolic process
GO:0000965,1,mitochondrial RNA 3'-end processing,mature_vs_early,mitochondrial RNA 3'-end processing
GO:0001112,1,DNA-templated transcription open complex formation,mature_vs_early,DNA-templated transcription open complex formation
GO:0001188,1,RNA polymerase I preinitiation complex assembly,mature_vs_early,RNA polymerase I preinitiation complex assembly
GO:0001407,1,glycerophosphodiester transmembrane transport,mature_vs_early,glycerophosphodiester transmembrane transport
GO:0001579,1,medium-chain fatty acid transport,mature_vs_early,medium-chain fatty acid transport
GO:0001762,1,beta-alanine transport,mature_vs_early,beta-alanine transport
GO:0001881,1,receptor recycling,mature_vs_early,receptor recycling
GO:0002100,1,tRNA wobble adenosine to inosine editing,mature_vs_early,tRNA wobble adenosine to inosine editing
GO:0002107,1,generation of mature 3'-end of 5S rRNA generated by RNA polymerase III,mature_vs_early,generation of mature 3'-end of 5S rRNA generated by RNA polymerase III
GO:0002109,1,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA,5S)",mature_vs_early,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA,5S)"
GO:0002128,1,tRNA nucleoside ribose methylation,mature_vs_early,tRNA nucleoside ribose methylation
GO:0002143,1,tRNA wobble position uridine thiolation,mature_vs_early,tRNA wobble position uridine thiolation
GO:0002188,1,translation reinitiation,mature_vs_early,translation reinitiation
GO:0002236,1,detection of misfolded protein,mature_vs_early,detection of misfolded protein
GO:0002926,1,tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation,mature_vs_early,tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation
GO:0005980,1,glycogen catabolic process,mature_vs_early,glycogen catabolic process
GO:0005991,1,trehalose metabolic process,mature_vs_early,trehalose metabolic process
GO:0005992,1,trehalose biosynthetic process,mature_vs_early,trehalose biosynthetic process
GO:0005996,1,monosaccharide metabolic process,mature_vs_early,monosaccharide metabolic process
GO:0006001,1,fructose catabolic process,mature_vs_early,fructose catabolic process
GO:0006011,1,UDP-alpha-D-glucose metabolic process,mature_vs_early,UDP-alpha-D-glucose metabolic process
GO:0006021,1,inositol biosynthetic process,mature_vs_early,inositol biosynthetic process
GO:0006030,1,chitin metabolic process,mature_vs_early,chitin metabolic process
GO:0006033,1,chitin localization,mature_vs_early,chitin localization
GO:0006044,1,N-acetylglucosamine metabolic process,mature_vs_early,N-acetylglucosamine metabolic process
GO:0006062,1,sorbitol catabolic process,mature_vs_early,sorbitol catabolic process
GO:0006066,1,alcohol metabolic process,mature_vs_early,alcohol metabolic process
GO:0006074,1,(1->3)-beta-D-glucan metabolic process,mature_vs_early,(1->3)-beta-D-glucan metabolic process
GO:0006083,1,acetate metabolic process,mature_vs_early,acetate metabolic process
GO:0006085,1,acetyl-CoA biosynthetic process,mature_vs_early,acetyl-CoA biosynthetic process
GO:0006106,1,fumarate metabolic process,mature_vs_early,fumarate metabolic process
GO:0006113,1,fermentation,mature_vs_early,fermentation
GO:0006127,1,glycerol-3-phosphate shuttle,mature_vs_early,glycerol-3-phosphate shuttle
GO:0006145,1,purine nucleobase catabolic process,mature_vs_early,purine nucleobase catabolic process
GO:0006146,1,adenine catabolic process,mature_vs_early,adenine catabolic process
GO:0006147,1,guanine catabolic process,mature_vs_early,guanine catabolic process
GO:0006171,1,cAMP biosynthetic process,mature_vs_early,cAMP biosynthetic process
GO:0006189,1,'de novo' IMP biosynthetic process,mature_vs_early,'de novo' IMP biosynthetic process
GO:0006226,1,dUMP biosynthetic process,mature_vs_early,dUMP biosynthetic process
GO:0006231,1,dTMP biosynthetic process,mature_vs_early,dTMP biosynthetic process
GO:0006235,1,dTTP biosynthetic process,mature_vs_early,dTTP biosynthetic process
GO:0006241,1,CTP biosynthetic process,mature_vs_early,CTP biosynthetic process
GO:0006256,1,UDP catabolic process,mature_vs_early,UDP catabolic process
GO:0006272,1,leading strand elongation,mature_vs_early,leading strand elongation
GO:0006273,1,lagging strand elongation,mature_vs_early,lagging strand elongation
GO:0006275,1,regulation of DNA replication,mature_vs_early,regulation of DNA replication
GO:0006278,1,RNA-templated DNA biosynthetic process,mature_vs_early,RNA-templated DNA biosynthetic process
GO:0006282,1,regulation of DNA repair,mature_vs_early,regulation of DNA repair
GO:0006285,1,"base-excision repair, AP site formation",mature_vs_early,"base-excision repair, AP site formation"
GO:0006287,1,"base-excision repair, gap-filling",mature_vs_early,"base-excision repair, gap-filling"
GO:0006308,1,DNA catabolic process,mature_vs_early,DNA catabolic process
GO:0006309,1,apoptotic DNA fragmentation,mature_vs_early,apoptotic DNA fragmentation
GO:0006311,1,meiotic gene conversion,mature_vs_early,meiotic gene conversion
GO:0006359,1,regulation of transcription by RNA polymerase III,mature_vs_early,regulation of transcription by RNA polymerase III
GO:0006384,1,transcription initiation at RNA polymerase III promoter,mature_vs_early,transcription initiation at RNA polymerase III promoter
GO:0006386,1,termination of RNA polymerase III transcription,mature_vs_early,termination of RNA polymerase III transcription
GO:0006390,1,mitochondrial transcription,mature_vs_early,mitochondrial transcription
GO:0006392,1,transcription elongation by mitochondrial RNA polymerase,mature_vs_early,transcription elongation by mitochondrial RNA polymerase
GO:0006403,1,RNA localization,mature_vs_early,RNA localization
GO:0006404,1,RNA import into nucleus,mature_vs_early,RNA import into nucleus
GO:0006419,1,alanyl-tRNA aminoacylation,mature_vs_early,alanyl-tRNA aminoacylation
GO:0006422,1,aspartyl-tRNA aminoacylation,mature_vs_early,aspartyl-tRNA aminoacylation
GO:0006425,1,glutaminyl-tRNA aminoacylation,mature_vs_early,glutaminyl-tRNA aminoacylation
GO:0006431,1,methionyl-tRNA aminoacylation,mature_vs_early,methionyl-tRNA aminoacylation
GO:0006432,1,phenylalanyl-tRNA aminoacylation,mature_vs_early,phenylalanyl-tRNA aminoacylation
GO:0006437,1,tyrosyl-tRNA aminoacylation,mature_vs_early,tyrosyl-tRNA aminoacylation
GO:0006446,1,regulation of translational initiation,mature_vs_early,regulation of translational initiation
GO:0006448,1,regulation of translational elongation,mature_vs_early,regulation of translational elongation
GO:0006473,1,protein acetylation,mature_vs_early,protein acetylation
GO:0006497,1,protein lipidation,mature_vs_early,protein lipidation
GO:0006517,1,protein deglycosylation,mature_vs_early,protein deglycosylation
GO:0006533,1,L-aspartate catabolic process,mature_vs_early,L-aspartate catabolic process
GO:0006534,1,cysteine metabolic process,mature_vs_early,cysteine metabolic process
GO:0006538,1,L-glutamate catabolic process,mature_vs_early,L-glutamate catabolic process
GO:0006541,1,glutamine metabolic process,mature_vs_early,glutamine metabolic process
GO:0006542,1,glutamine biosynthetic process,mature_vs_early,glutamine biosynthetic process
GO:0006544,1,glycine metabolic process,mature_vs_early,glycine metabolic process
GO:0006556,1,S-adenosylmethionine biosynthetic process,mature_vs_early,S-adenosylmethionine biosynthetic process
GO:0006562,1,L-proline catabolic process,mature_vs_early,L-proline catabolic process
GO:0006565,1,L-serine catabolic process,mature_vs_early,L-serine catabolic process
GO:0006592,1,ornithine biosynthetic process,mature_vs_early,ornithine biosynthetic process
GO:0006605,1,protein targeting,mature_vs_early,protein targeting
GO:0006611,1,protein export from nucleus,mature_vs_early,protein export from nucleus
GO:0006617,1,"SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition",mature_vs_early,"SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition"
GO:0006620,1,post-translational protein targeting to endoplasmic reticulum membrane,mature_vs_early,post-translational protein targeting to endoplasmic reticulum membrane
GO:0006621,1,protein retention in ER lumen,mature_vs_early,protein retention in ER lumen
GO:0006637,1,acyl-CoA metabolic process,mature_vs_early,acyl-CoA metabolic process
GO:0006642,1,triglyceride mobilization,mature_vs_early,triglyceride mobilization
GO:0006646,1,phosphatidylethanolamine biosynthetic process,mature_vs_early,phosphatidylethanolamine biosynthetic process
GO:0006658,1,phosphatidylserine metabolic process,mature_vs_early,phosphatidylserine metabolic process
GO:0006660,1,phosphatidylserine catabolic process,mature_vs_early,phosphatidylserine catabolic process
GO:0006661,1,phosphatidylinositol biosynthetic process,mature_vs_early,phosphatidylinositol biosynthetic process
GO:0006672,1,ceramide metabolic process,mature_vs_early,ceramide metabolic process
GO:0006739,1,NADP+ metabolic process,mature_vs_early,NADP+ metabolic process
GO:0006744,1,ubiquinone biosynthetic process,mature_vs_early,ubiquinone biosynthetic process
GO:0006750,1,glutathione biosynthetic process,mature_vs_early,glutathione biosynthetic process
GO:0006753,1,nucleoside phosphate metabolic process,mature_vs_early,nucleoside phosphate metabolic process
GO:0006798,1,polyphosphate catabolic process,mature_vs_early,polyphosphate catabolic process
GO:0006801,1,superoxide metabolic process,mature_vs_early,superoxide metabolic process
GO:0006805,1,xenobiotic metabolic process,mature_vs_early,xenobiotic metabolic process
GO:0006814,1,sodium ion transport,mature_vs_early,sodium ion transport
GO:0006849,1,plasma membrane pyruvate transport,mature_vs_early,plasma membrane pyruvate transport
GO:0006853,1,carnitine shuttle,mature_vs_early,carnitine shuttle
GO:0006862,1,nucleotide transport,mature_vs_early,nucleotide transport
GO:0006868,1,glutamine transport,mature_vs_early,glutamine transport
GO:0006884,1,cell volume homeostasis,mature_vs_early,cell volume homeostasis
GO:0006885,1,regulation of pH,mature_vs_early,regulation of pH
